type,device,rssi
RSSI,ESP-C1CA71,-47
RSSI,ESP-C1CA71,-45
RSSI,ESP-C1CA71,-44
RSSI,ESP-C1CA71,-45
RSSI,ESP-C1CA71,-46
RSSI,ESP-C1CA71,-45
RSSI,ESP-C1CA71,-46
RSSI,ESP-C1CA71,-45
RSSI,ESP-C1CA71,-44
RSSI,ESP-C1CA71,-47
RSSI,ESP-C1CA71,-44
RSSI,ESP-C1CA71,-45
RSSI,ESP-C1CA71,-48
RSSI,ESP-C1CA71,-46
RSSI,ESP-C1CA71,-44
RSSI,ESP-C1CA71,-44
RSSI,ESP-C1CA71,-44
RSSI,ESP-C1CA71,-45
RSSI,ESP-C1CA71,-48
RSSI,ESP-C1CA71,-46
RSSI,ESP-C1CA71,-47
RSSI,ESP-C1CA71,-43
RSSI,ESP-C1CA71,-44
RSSI,ESP-C1CA71,-44
RSSI,ESP-C1CA71,-43
RSSI,ESP-C1CA71,-45
RSSI,ESP-C1CA71,-45
RSSI,ESP-C1CA71,-46
RSSI,ESP-C1CA71,-43
RSSI,ESP-C1CA71,-46
RSSI,ESP-C1CA71,-44
RSSI,ESP-C1CA71,-47
RSSI,ESP-C1CA71,-46
RSSI,ESP-C1CA71,-46
RSSI,ESP-C1CA71,-49
RSSI,ESP-C1CA71,-45
RSSI,ESP-C1CA71,-45
