type,device,rssi
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-52
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-55
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-52
RSSI,ESP-C1CA71,-55
RSSI,ESP-C1CA71,-52
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-55
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-55
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-55
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-52
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-52
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-56
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-55
RSSI,ESP-C1CA71,-55
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-53
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-56
RSSI,ESP-C1CA71,-55
RSSI,ESP-C1CA71,-55
RSSI,ESP-C1CA71,-62
RSSI,ESP-C1CA71,-55
RSSI,ESP-C1CA71,-54
RSSI,ESP-C1CA71,-54
